market,name,date,entry,ma15,ma50,ma120,ma15_above_50,ma50_above_120,value_accel_pct,ret3_pct,dd3_pct,ret7_pct,dd7_pct,ret14_pct,dd14_pct,ret30_pct,dd30_pct
KRW-VET,비체인,2026-08-30,9.35,7.978,7.1266,7.9517500000000005,True,False,3.0214414123824085,-1.17647058823529,-4.064171122994642,1.497326203208571,-4.064171122994642,1.497326203208571,-4.064171122994642,1.497326203208571,-4.064171122994642
KRW-QTUM,퀀텀,2026-08-31,1134.0,1125.4,1013.26,1117.2,True,False,-28.24668542289448,2.910052910052907,-0.9700176366843061,4.497354497354489,-0.9700176366843061,4.497354497354489,-0.9700176366843061,4.497354497354489,-0.9700176366843061
KRW-LINK,체인링크,2026-08-21,16470.0,13035.333333333334,12347.6,12794.75,True,False,44.35919499139229,-2.975106253794779,-3.885853066180933,0.12143290831816422,-4.857316332726169,0.12143290831816422,-7.043108682452948,0.12143290831816422,-7.043108682452948
KRW-XRP,엑스알피(리플),2026-08-29,1941.0,1791.6,1622.14,1756.3666666666666,True,False,-20.36049506944282,-2.1123132405976297,-3.76094796496651,1.9577537351880503,-4.224626481195259,1.9577537351880503,-4.224626481195259,1.9577537351880503,-4.224626481195259
KRW-ENA,에테나,2026-08-23,222.0,142.06666666666666,128.24,137.45,True,False,32.06385638018831,-4.95495495495496,-10.360360360360366,5.855855855855863,-10.360360360360366,5.855855855855863,-10.360360360360366,5.855855855855863,-10.360360360360366
KRW-PYTH,피스네트워크,2026-07-13,70.2,63.559999999999995,57.416000000000004,63.52833333333333,True,False,-16.390561328496567,5.555555555555536,-2.1367521367521403,5.555555555555536,-2.1367521367521403,5.555555555555536,-10.96866096866097,5.555555555555536,-23.5042735042735
KRW-PYTH,피스네트워크,2026-08-27,67.9,62.28,63.104,62.27833333333333,False,True,-7.8195380482329995,-1.3254786450662803,-3.53460972017674,16.347569955817363,-3.53460972017674,16.347569955817363,-3.53460972017674,16.347569955817363,-3.53460972017674
KRW-ENS,이더리움네임서비스,2026-08-31,8045.0,7388.333333333333,6533.4,7379.875,True,False,-27.7373638448848,-1.9266625233063994,-7.520198881292728,0.7458048477315016,-7.520198881292728,0.7458048477315016,-7.520198881292728,0.7458048477315016,-7.520198881292728
KRW-PUMP,펌프펀,2026-07-25,2.61,2.5406666666666666,2.3184,2.5314166666666664,True,False,-53.014160022290724,18.39080459770115,9.195402298850585,18.39080459770115,1.9157088122605526,31.800766283524908,1.9157088122605526,174.71264367816093,1.9157088122605526
KRW-ZRO,레이어제로,2026-09-02,1390.0,1472.8666666666666,1246.82,1460.3833333333334,True,False,-22.65541976264853,10.503597122302155,2.302158273381294,10.503597122302155,2.302158273381294,10.503597122302155,2.302158273381294,10.503597122302155,2.302158273381294
KRW-RAY,레이디움,2026-07-10,1036.0,1014.4,981.0,1007.225,True,False,0.9167160428491306,-1.6409266409266432,-4.826254826254828,-1.6409266409266432,-4.826254826254828,0.5791505791505891,-12.06563706563707,0.5791505791505891,-16.988416988416986
KRW-RAY,레이디움,2026-08-29,1107.0,1004.8666666666667,950.4,999.55,True,False,-3.2990115804612863,2.4390243902439046,-3.342366757000903,6.323396567299011,-3.342366757000903,6.323396567299011,-3.342366757000903,6.323396567299011,-3.342366757000903
KRW-ZRX,제로엑스,2026-09-03,138.0,133.73333333333332,121.44,133.43333333333334,True,False,40.40150242766063,2.898550724637672,2.898550724637672,2.898550724637672,2.898550724637672,2.898550724637672,2.898550724637672,2.898550724637672,2.898550724637672
KRW-XPL,플라즈마,2026-07-05,161.0,147.46666666666667,133.418,147.02416666666667,True,False,-8.054866982673836,1.8633540372670732,-15.527950310559003,1.8633540372670732,-17.391304347826086,1.8633540372670732,-26.708074534161486,1.8633540372670732,-34.161490683229815
KRW-MASK,마스크네트워크,2026-09-04,603.0,594.7333333333333,543.68,591.3833333333333,True,False,0.6499314940045187,1.4925373134328401,1.4925373134328401,1.4925373134328401,1.4925373134328401,1.4925373134328401,1.4925373134328401,1.4925373134328401,1.4925373134328401
KRW-COMP,컴파운드,2026-09-03,27270.0,26586.0,24820.2,26473.416666666668,True,False,168.39680706577641,0.5133846718005097,-2.236890355702237,0.5133846718005097,-2.236890355702237,0.5133846718005097,-2.236890355702237,0.5133846718005097,-2.236890355702237
KRW-RED,레드스톤,2026-09-04,166.0,156.33333333333334,139.32,155.975,True,False,6.358280296635566,3.6144578313253017,3.6144578313253017,3.6144578313253017,3.6144578313253017,3.6144578313253017,3.6144578313253017,3.6144578313253017,3.6144578313253017
KRW-TIA,셀레스티아,2026-06-21,549.0,530.7333333333333,579.88,528.7833333333333,False,True,-31.148961457784587,5.64663023679417,3.0965391621129434,5.64663023679417,-1.821493624772308,10.564663023679422,-1.821493624772308,11.65755919854281,-4.735883424408016
KRW-ADA,에이다,2026-09-01,272.0,284.93333333333334,262.88,284.55833333333334,True,False,-6.76030476862628,11.029411764705888,1.8382352941176405,11.029411764705888,1.8382352941176405,11.029411764705888,1.8382352941176405,11.029411764705888,1.8382352941176405
KRW-1INCH,1인치네트워크,2026-08-26,126.0,121.13333333333334,116.9,120.51666666666667,True,False,-27.714819561784342,-0.7936507936507908,-3.1746031746031744,-0.7936507936507908,-5.555555555555558,0.7936507936507908,-5.555555555555558,0.7936507936507908,-5.555555555555558
KRW-ORCA,오르카,2026-06-21,1792.0,1710.4666666666667,1996.18,1696.3416666666667,False,True,-17.95136265615551,2.2321428571428603,-5.412946428571431,2.2321428571428603,-5.74776785714286,5.74776785714286,-5.74776785714286,5.74776785714286,-6.02678571428571
KRW-MET2,메테오라,2026-06-29,253.0,220.46666666666667,201.46,217.11666666666667,True,False,21.8858374887658,6.719367588932812,-3.1620553359683834,14.229249011857714,-3.1620553359683834,14.229249011857714,-13.833992094861658,14.229249011857714,-24.90118577075099
KRW-FLUID,플루이드,2026-09-01,1765.0,1812.2666666666667,1685.0,1802.525,True,False,-41.065557961776335,-2.436260623229458,-4.249291784702547,-2.436260623229458,-4.249291784702547,-2.436260623229458,-4.249291784702547,-2.436260623229458,-4.249291784702547
KRW-SOL,솔라나,2026-08-25,134300.0,116866.66666666667,112020.0,115557.91666666667,True,False,10.748703240938951,12.285927029039456,5.5845122859270235,12.285927029039456,2.978406552494417,12.285927029039456,2.903946388682055,12.285927029039456,2.903946388682055
KRW-MINA,미나,2026-08-29,87.7,72.65333333333334,64.876,71.22416666666666,True,False,10.012292030169267,10.490307867730909,1.4823261117445696,15.16533637400228,1.4823261117445696,15.16533637400228,1.4823261117445696,15.16533637400228,1.4823261117445696
KRW-MMT,모멘텀,2026-06-20,225.0,185.86666666666667,190.44,185.59166666666667,False,True,-5.592230956553401,28.44444444444445,11.555555555555564,37.33333333333333,11.555555555555564,37.33333333333333,1.777777777777767,37.33333333333333,-4.0000000000000036
KRW-CHIP,유에스디에이아이,2026-09-04,75.1,54.31333333333334,42.966,52.16416666666667,True,False,58.1650971192232,6.125166444740349,6.125166444740349,6.125166444740349,6.125166444740349,6.125166444740349,6.125166444740349,6.125166444740349,6.125166444740349
KRW-GAS,가스,2026-09-05,1702.0,1727.6,1496.48,1718.7333333333333,True,False,-16.87168962823,,,,,,,,
KRW-XEC,이캐시,2026-07-23,0.0107,0.009921999999999999,0.0086344,0.00979875,True,False,-43.61245562265053,-1.869158878504662,-7.476635514018682,-1.869158878504662,-21.495327102803742,-1.869158878504662,-21.495327102803742,-0.9345794392523255,-21.495327102803742
KRW-XEC,이캐시,2026-08-27,0.00986,0.009510666666666667,0.009590999999999999,0.009508916666666667,False,True,-33.57947699962829,-1.8255578093306468,-4.158215010141997,-0.40567951318458695,-4.158215010141997,0.0,-4.158215010141997,0.0,-4.158215010141997
KRW-MON,모나드,2026-08-27,39.1,35.34,32.544000000000004,34.82666666666667,True,False,-18.97452215948372,-2.5575447570332477,-5.626598465473154,-2.5575447570332477,-10.997442455242979,-2.5575447570332477,-12.531969309462909,-2.5575447570332477,-12.531969309462909
KRW-STX,스택스,2026-08-30,324.0,280.53333333333336,231.06,277.4916666666667,True,False,-33.4664483439489,10.802469135802472,7.098765432098775,15.740740740740744,7.098765432098775,15.740740740740744,7.098765432098775,15.740740740740744,7.098765432098775
KRW-BSV,비트코인에스브이,2026-08-20,22280.0,20651.333333333332,19943.6,20537.916666666668,True,False,217.8982261268916,11.938958707360857,4.084380610412919,11.938958707360857,2.603231597845612,11.938958707360857,-3.321364452423703,11.938958707360857,-3.321364452423703
KRW-SYRUP,메이플파이낸스,2026-08-31,258.0,254.73333333333332,244.72,252.99166666666667,True,False,3.896925616132929,12.4031007751938,3.875968992248069,15.503875968992254,3.875968992248069,15.503875968992254,3.875968992248069,15.503875968992254,3.875968992248069
KRW-BTC,비트코인,2026-08-28,107744000.0,100771933.33333333,95304540.0,100382441.66666667,True,False,7.16800732341385,0.9299821799821695,0.26637214137215093,2.953296703296693,-1.2474012474012475,2.953296703296693,-1.2474012474012475,2.953296703296693,-1.2474012474012475
KRW-ZBT,제로베이스,2026-07-08,181.0,183.86666666666667,187.24,183.69166666666666,False,True,-17.525934195245053,4.419889502762442,0.0,13.812154696132595,-25.96685082872928,13.812154696132595,-27.62430939226519,47.513812154696126,-27.62430939226519
KRW-ONG,온톨로지가스,2026-08-24,113.0,82.03999999999999,70.768,80.49666666666667,True,False,-1.6962332425261684,99.11504424778761,17.699115044247794,99.11504424778761,14.15929203539823,99.11504424778761,14.15929203539823,99.11504424778761,14.15929203539823
KRW-ENSO,엔소,2026-08-01,1352.0,1165.2666666666667,1039.94,1150.4666666666667,True,False,38.67598722844476,-2.440828402366868,-4.8816568047337245,5.769230769230771,-5.473372781065089,5.769230769230771,-24.186390532544376,5.769230769230771,-24.186390532544376
KRW-ONT,온톨로지,2026-09-01,75.0,71.5,61.394,70.2375,True,False,-35.59079584923298,3.4666666666666623,-4.0000000000000036,3.4666666666666623,-4.0000000000000036,3.4666666666666623,-4.0000000000000036,3.4666666666666623,-4.0000000000000036
