activate,drop,no_high_sec,avg_net,median_net,avg_capture,median_capture,wins,worst
10,0.75,30,6.367611120330813,7.679578606158833,-45.849276196826594,61.80830039525692,12,-17.898165137614686
10,0.5,60,7.079518321186113,8.01808118081181,-45.8605525264569,72.87549407114625,12,-17.898165137614686
10,0.75,60,7.079518321186113,8.01808118081181,-45.8605525264569,72.87549407114625,12,-17.898165137614686
2,0.5,120,4.735209699343098,3.0930333817126177,-45.890217738991105,70.3432432432434,12,-17.898165137614686
2,0.75,120,4.735209699343098,3.0930333817126177,-45.890217738991105,70.3432432432434,12,-17.898165137614686
3,0.5,30,3.8055387624926422,2.6749229188078094,-45.9731795534362,52.70869565217402,13,-17.898165137614686
3,0.75,30,3.8055387624926422,2.6749229188078094,-45.9731795534362,52.70869565217402,13,-17.898165137614686
5,2,30,4.933659325850983,3.9590405904058934,-45.98544838582965,57.20769230769232,13,-17.898165137614686
10,1,60,7.030086783865302,8.01808118081181,-46.03614515156664,72.87549407114625,12,-17.898165137614686
10,1,30,6.340378004862402,7.679578606158833,-46.11665587597099,61.80830039525692,12,-17.898165137614686
10,1,15,6.359343401587484,8.327876823338743,-46.153162939665,70.89920948616601,12,-17.898165137614686
2,0.5,90,4.346942380441422,2.8027576197387494,-46.391792096536804,56.980000000000395,13,-17.898165137614686
2,0.75,90,4.346942380441422,2.8027576197387494,-46.391792096536804,56.980000000000395,13,-17.898165137614686
5,1.5,90,5.245520542916759,4.600162074554304,-46.404581669592105,57.92448979591847,13,-17.898165137614686
2,1,15,3.331499947444541,1.3760147601476036,-46.41608896123527,53.27142857142891,14,-17.898165137614686
10,1.5,45,6.663213512751495,8.01808118081181,-46.4748184412644,61.80830039525692,12,-17.898165137614686
10,0.5,120,7.118120411334742,7.515894039735105,-46.48031881827403,72.05714285714298,12,-17.898165137614686
10,0.75,120,7.118120411334742,7.515894039735105,-46.48031881827403,72.05714285714298,12,-17.898165137614686
10,1,120,7.118120411334742,7.515894039735105,-46.48031881827403,72.05714285714298,12,-17.898165137614686
10,1.5,60,7.108492353117824,8.01808118081181,-46.49637208465886,72.87549407114625,12,-17.898165137614686
2,1,90,4.3408967967403145,2.8027576197387494,-46.5507746084605,56.980000000000395,13,-17.898165137614686
3,1.5,60,4.423655590826877,2.236448598130847,-46.62685717234588,47.62692307692307,14,-17.898165137614686
10,1.5,120,7.087851013695755,7.515894039735105,-46.67639724964658,72.05714285714298,12,-17.898165137614686
3,1,45,3.8233831268760357,2.572147995888996,-46.71731125827605,61.015217391303985,14,-17.898165137614686
7,2,180,4.530179924444504,4.730421377183947,-46.750644428186824,62.12898550724641,12,-17.898165137614686
5,2,120,6.271019455673273,4.7622366288492595,-46.8836417925926,59.77532467532446,13,-17.898165137614686
3,1,30,3.7629401440980987,2.572147995888996,-47.14056542670441,52.70869565217402,13,-17.898165137614686
10,1.5,15,6.232020789809775,8.165802269043764,-47.16767647564786,70.89920948616601,12,-17.898165137614686
7,3,90,5.456787131147082,4.10560747663552,-47.194725884277844,54.899999999999885,13,-17.898165137614686
2,1,120,4.675741233750816,2.572147995888996,-47.40989837631875,61.98000000000026,12,-17.898165137614686
7,3,15,5.146197631565603,4.10560747663552,-47.444121883045895,54.91250000000008,13,-17.898165137614686
5,2,90,5.190993132553853,4.600162074554304,-47.54170297965458,57.20769230769232,13,-17.898165137614686
3,1.5,120,4.780329875226459,2.3673439767779247,-47.694530996404076,54.15797101449282,14,-17.898165137614686
10,0.5,90,6.873510016240128,7.847019867549665,-47.72783814385299,61.57444444444437,12,-17.898165137614686
10,0.75,90,6.873510016240128,7.847019867549665,-47.72783814385299,61.57444444444437,12,-17.898165137614686
10,1,90,6.873510016240128,7.847019867549665,-47.72783814385299,61.57444444444437,12,-17.898165137614686
5,2,60,5.017965634343001,3.590036900368998,-47.75230403674857,57.20769230769232,13,-17.898165137614686
