market,fetched_kst,trade_timestamp_kst,price,day_return_pct,trade_value_15m,trade_value_30m,trade_value_45m,trade_value_60m,trade_value_90m,trade_value_120m,median_15m,anomaly_15m,change_15m_pct,change_accel_pctp,dir_15_vs_30,dir_15_vs_45,dir_15_vs_60,dir_15_vs_90,dir_15_vs_120,bid_10s,ask_10s,net_10s,ratio_10s,trades_10s,prev_bid_10s,prev_ask_10s,prev_trades_10s,bid_15m_ticks,ask_15m_ticks,trades_15m_ticks,tick_coverage_sec,slope15_1m_pct,higher_low_15m,preexpansion_score
KRW-MON,2026-09-06T18:06:15+09:00,2026-09-06T18:05:26.751+09:00,35.2,3.52941176,40472859.44550194,54887616.40240511,114071188.70086215,153162574.70971242,234537969.78046426,369210211.0682577,41991525.07153244,0.9638339968971485,180.77379012706592,256.41777984061184,↑,→,→,→,↓,0.0,2871503.00030232,-2871503.00030232,0.0,4,0.0,0.0,0,29085937.126932282,3089149.978068675,62,19047.12,0.17877229632010258,False,6.707917746575749
KRW-MOODENG,2026-09-06T18:06:06+09:00,2026-09-06T18:03:47.805+09:00,60.6,-1.7828201,35161298.77455879,59013066.95543577,85651017.56733029,97221254.54786484,159620571.03217432,231351885.05036655,26630192.12528588,1.320354678972536,47.415900187849246,57.875347581574175,↑,↑,↑,↑,↑,3669188.43911323,0.0,3669188.43911323,999.0,3,0.0,0.0,0,7953644.952007366,3526159.136305948,19,20399.164,0.04962505513895035,True,5.795294603197505
KRW-MORPHO,2026-09-06T18:06:15+09:00,2026-09-06T18:04:15.596+09:00,3447.0,1.32275132,50895059.72279265,77786081.80827384,120371620.26528664,170477349.51917323,228159307.86932757,284176251.06897324,36160984.22591797,1.407457811569028,89.26413269457522,126.11823138672668,↑,↑,↑,↑,↑,335555.64631940005,0.0,335555.64631940005,999.0,2,0.0,0.0,0,3475028.9313193997,9362069.650260009,8,13684.959,-0.10263752328923723,False,9.302171537824846
KRW-MOVE,2026-09-06T17:56:23+09:00,2026-09-06T17:55:20.969+09:00,12.2,-1.61290323,57790957.64052111,93866115.83099318,126927829.26398462,168276057.20797908,227906348.2267256,279869271.3270498,34568435.811731756,1.6717839926360842,60.195992309701055,51.081386789971496,↑,↑,↑,↑,↑,0.0,1807802.2942911,-1807802.2942911,0.0,2,0.0,0.0,0,180675.03748125,24577248.876765154,23,22603.726,0.008777405008972323,False,-1.6345100645583504
KRW-MTL,2026-09-06T18:02:47+09:00,2026-09-06T17:53:30.824+09:00,332.0,-0.3003003,1896732.54540613,9615347.93644145,15188145.00964076,16695923.21178267,38710117.21167693,69771389.65341248,6079461.7525147945,0.3119902094328562,-75.42651823785566,-113.93174801117144,↓,↓,↓,↓,↓,0.0,47731.595017319996,-47731.595017319996,0.0,2,0.0,0.0,0,0.0,47731.595017319996,2,31886.214,0.010731456043956042,True,-4.656810769623858
KRW-MVL,2026-09-06T18:01:47+09:00,2026-09-06T17:37:47.113+09:00,1.26,0.0,10322123.14505305,26715149.53253009,37404216.71344207,52067505.6979262,59589706.37247577,74958180.12288499,9146079.853213795,1.1285844111043937,-37.03345007156015,-90.39600369785705,↓,↓,↓,→,↑,157316.34182908142,0.0,157316.34182908142,999.0,1,0.0,0.0,0,157316.34182908142,0.0,1,30607.695,-0.025469775865972405,True,5.241442852214833
KRW-NCT,2026-09-06T17:59:20+09:00,2026-09-06T17:59:10.904+09:00,15.6,-1.26582278,12710172.33158896,35149843.37188705,62617579.29268736,74700355.98605874,99035508.90699567,121316823.39156422,13922761.74825091,0.9129059709138322,-43.358472997382606,-25.053124151012454,↓,↓,↓,↓,↓,0.0,31200.0,-31200.0,0.0,1,0.0,0.0,0,7910954.465959633,1250255.7394828799,9,32267.856,0.03434065934065922,False,-4.995803431994784
KRW-NEAR,2026-09-06T17:59:47+09:00,2026-09-06T17:59:40.980+09:00,3169.0,5.9157754,986420202.8715755,1357726761.0986743,2640710493.894169,3914728122.3410697,4822837999.1187105,5463914846.050382,467385135.2870854,2.1105082904822794,165.66193917540778,236.72107665815213,↑,↑,→,↑,↑,0.0,47247.74572436,-47247.74572436,0.0,3,2252355.72703214,2820203.39390693,9,587701783.4631375,335972897.28643763,500,688.216,0.18440347769108492,False,7.197529132078746
KRW-NEO,2026-09-06T17:59:19+09:00,2026-09-06T17:58:43.842+09:00,2924.0,0.10270455,4527319.95010745,20277034.4681369,25070508.93493658,36633123.94770567,47201236.84954496,89149324.47552282,9631585.746300185,0.4700492804984418,-71.25459039321117,-299.82032339365423,↓,↓,↓,↓,↓,0.0,136217.80291275,-136217.80291275,0.0,1,0.0,0.0,0,0.0,811811.68525215,3,32124.102,-0.04189740008769224,True,-0.4829457914517139
KRW-NEWT,2026-09-06T17:57:42+09:00,2026-09-06T17:55:31.950+09:00,60.1,-0.82508251,6623991.86000085,13871136.524374241,17144381.76233574,22291379.30980129,32744592.78946736,44740019.61058882,5228747.510659515,1.2668410257900078,-8.598597561270294,-130.0040877556665,→,↑,↑,↑,↑,733662.042460181,0.0,733662.042460181,999.0,2,0.0,0.0,0,733662.042460181,260873.80219982204,5,32064.093,0.020835648405378673,True,1.3935251283690082
KRW-NXPC,2026-09-06T17:58:45+09:00,2026-09-06T17:57:00.474+09:00,283.0,-1.39372822,26811252.83483075,33115680.28173903,39092219.34792987,74698028.29350436,88382646.9208494,125030386.41312325,7173118.902118806,3.7377399149080333,325.27657048347993,319.7903120137194,↑,↑,↑,↑,↑,499999.99999807,0.0,499999.99999807,999.0,1,0.0,0.0,0,600354.60992488,0.0,2,32144.713,-0.018952156334231803,False,15.611513906398837
KRW-O,2026-09-06T18:01:09+09:00,2026-09-06T17:55:40.279+09:00,715.0,-2.45566166,7666690.19788734,8936433.28130346,19646282.55482958,28361361.65886304,56881718.206209764,76974338.00512262,9733917.25061412,0.7876263995775845,503.7985398794894,591.9426953107444,↑,↑,↑,↓,↓,5012.96918416,0.0,5012.96918416,999.0,1,0.0,0.0,0,1653282.1969452999,0.0,9,28821.877,0.0917388031614603,False,13.366389039535342
KRW-ONDO,2026-09-06T18:03:40+09:00,2026-09-06T18:02:49.129+09:00,510.0,0.99009901,62790163.20709963,324213900.9569675,465241700.28197116,569384533.4997828,886739705.6125324,1523854746.5026479,173811427.41394347,0.3612545166984946,-75.98146069383426,-161.35181958840047,↓,↓,↓,↓,↓,0.0,51000.0,-51000.0,0.0,1,0.0,142800.0,2,53688793.371075824,7321268.09120248,59,4292.116,0.01680672268907563,False,-0.6026200316316559
KRW-ONG,2026-09-06T18:06:51+09:00,2026-09-06T18:05:17.643+09:00,130.0,-2.2556391,20870125.13421351,78334392.15471885,96078161.70972548,117960357.41446804,163482047.0304392,288839989.1281387,29954839.696089305,0.6967196401634614,-63.681560356862654,-287.5375867911727,↓,↓,↓,↓,↓,39775.79999886,0.0,39775.79999886,999.0,1,0.0,0.0,0,10800360.015501508,9144939.031757101,38,14742.858,0.05198453232161097,True,0.7663916041798071
KRW-ONT,2026-09-06T18:07:17+09:00,2026-09-06T18:06:41.136+09:00,75.8,-0.7853403099999999,22865096.63699807,53032178.06294079,79990560.95418599,86506207.81661816,105705049.7369109,132175370.06443319,14589975.20653002,1.5671785807260565,-24.205141643782547,-36.107556368144785,↓,↓,→,↑,↑,94744.5,0.0,94744.5,999.0,1,0.0,0.0,0,5042613.32661333,2456079.9805924497,43,16609.897,0.018375424048247428,False,0.7238964387986622
KRW-OP,2026-09-06T18:01:58+09:00,2026-09-06T18:00:37.293+09:00,151.0,2.72108844,20752771.21657135,41908793.15201839,82665261.81845824,141190534.1910182,210898170.85774592,397289568.46169585,34853818.33336385,0.595423176252277,-1.906080075479799,46.185541628567464,→,↓,↓,↓,↓,149924.9999997,0.0,149924.9999997,999.0,1,0.0,0.0,0,6260043.68569126,6234380.595000999,7,27394.389,0.00474503353157029,False,5.5786763264488535
KRW-OPEN,2026-09-06T18:03:14+09:00,2026-09-06T17:56:01.258+09:00,170.0,-1.7341040499999998,11398387.31550276,24994002.08853709,42353887.06996602,60811836.17813438,107306537.12280555,140741544.43822506,17908917.044798642,0.6364643538741075,-16.16129534568436,5.522432469456692,↓,↓,↓,↓,↓,2005693.2052753503,0.0,2005693.2052753503,999.0,6,0.0,0.0,0,2011693.2052739402,1732381.7619929998,10,32064.174,-0.00836073797447188,True,1.8105594386506523
KRW-OPG,2026-09-06T18:07:25+09:00,2026-09-06T17:49:27.967+09:00,140.0,-2.0979021,34299369.67792546,94155767.1910255,110572814.79415752,127297459.02998403,152132684.40394622,191866828.27402678,16570845.919479264,2.069862325954408,-42.69723688195772,-307.29627417585414,↓,→,→,↑,↑,14000.0,0.0,14000.0,999.0,1,0.0,0.0,0,14000.0,985815.60283684,2,31632.66,-0.012803878721660746,False,0.27684855854984924
KRW-ORBS,2026-09-06T18:04:55+09:00,2026-09-06T17:20:30.619+09:00,8.47,0.23668639000000002,26767047.148844488,42661524.96177681,46369987.233853646,59158182.447345465,80691353.96072708,98994680.96489991,10766585.756690804,2.486122133212967,68.40469667437488,-260.19553293052223,↑,↑,↑,↑,↑,183704.3709020674,0.0,183704.3709020674,999.0,1,308213.49774370546,0.0,2,794932.1186457728,1199426.3531741786,10,29905.116,-0.03253411152299158,False,5.444851763393635
KRW-ORCA,2026-09-06T18:05:04+09:00,2026-09-06T18:04:46.297+09:00,1813.0,3.01136364,29943993.46755425,51696179.85840168,100506268.7728912,147722239.4151955,296070626.30343455,422493763.9114022,48013029.77839691,0.6236639013567795,37.65969511990597,93.09475603742423,↑,↓,↓,↓,↓,1775783.94193935,152893.8,1622890.14193935,11.614492817493907,7,19871.230111279998,0.0,2,4280773.57215535,14693153.28556013,41,6641.068,0.01752437660476033,False,10.98941779023859
KRW-ORDER,2026-09-06T18:02:38+09:00,2026-09-06T17:55:23.063+09:00,46.8,-0.84745763,15867014.83929895,27469587.96866508,39996169.69928908,61880484.2976358,101180991.05304869,127260555.44134498,17051637.65257124,0.9305273289634056,36.754275645455856,44.130658294194944,↑,↑,→,→,→,562683.570107256,0.0,562683.570107256,999.0,1,0.0,0.0,0,1246154.83427298,0.0,5,31978.585,-0.008396775638155284,False,0.8250501188800419
